	Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
138	DLG3	1709.872662	1.653446428	0.282375901	5.855479948	4.76e-09	3.51e-07
139	PLA2G12A	568.1372981	3.856969916	0.659898851	5.844789559	5.07e-09	3.7e-07
140	ALKBH3	2469.809932	-0.69533977	0.119352517	-5.825932995	5.68e-09	4.11e-07
141	STUB1	28364.68985	0.297182718	0.051008151	5.82618091	5.67e-09	4.11e-07
142	NOP16	4075.739854	0.419049916	0.072119815	5.810468556	6.23e-09	4.49e-07
143	NAMPT	18316.15596	0.372251689	0.064131713	5.8044869	6.46e-09	4.64e-07
144	MAK16	5337.440286	0.529420193	0.091251322	5.801781053	6.56e-09	4.7e-07
145	DGKI	13946.41421	1.316026975	0.228021347	5.771507754	7.86e-09	5.55e-07
146	JOSD1	1010.741272	-0.52106582	0.090330064	-5.768465074	8e-09	5.63e-07
147	TMEM168	2682.02196	-0.396149938	0.068749732	-5.762203372	8.3e-09	5.83e-07
148	WNT2	121.5383475	-1.131108501	0.19663906	-5.752206604	8.81e-09	6.17e-07
149	PIK3IP1	5272.34195	-0.604104295	0.10524856	-5.7397868	9.48e-09	6.58e-07
150	GREB1L	1635.731501	-1.396904807	0.243565011	-5.73524417	9.74e-09	6.72e-07
151	GRK7	4778.771274	-0.366947863	0.064179965	-5.717483084	1.08e-08	7.43e-07
152	CXCL14	57311.95233	1.324461605	0.231732264	5.715482099	1.09e-08	7.5e-07
153	SCG2	47833.56619	0.639187886	0.112138758	5.699972922	1.2e-08	8.11e-07
154	OSTM1	13106.2534	-0.294762122	0.051742472	-5.696715136	1.22e-08	8.21e-07
155	PLEKHM3	4291.890398	-0.649797544	0.11405629	-5.697165356	1.22e-08	8.21e-07
156	KLF5	769.6381556	-1.250542373	0.219609609	-5.694388245	1.24e-08	8.3e-07
157	BRCA2	1693.243745	-0.579365943	0.102239017	-5.666779256	1.46e-08	9.52e-07
158	SLITRK2	3209.869468	0.790092745	0.139507715	5.663434055	1.48e-08	9.69e-07
159	SFPQ	61181.89595	0.604476499	0.106866689	5.65636033	1.55e-08	9.96e-07
160	ITPKA	124027.6777	0.57423592	0.101865801	5.637180652	1.73e-08	1.11e-06
161	COBLL1	88.04692016	4.327472287	0.768038306	5.634448511	1.76e-08	1.12e-06
162	NYX	430.874636	1.589055321	0.282473692	5.625498464	1.85e-08	1.17e-06
163	TRIM36	891.0591089	-0.44983871	0.080233674	-5.606607386	2.06e-08	1.28e-06
164	EPG5	5321.335254	-0.407195032	0.072938285	-5.582733815	2.37e-08	1.46e-06
165	ARPC1B	15366.5756	0.74860986	0.134994157	5.545498236	2.93e-08	1.78e-06
166	ERN2	487.5620225	-0.59325222	0.107308435	-5.52847703	3.23e-08	1.94e-06
167	PSTPIP2	191.6268039	-0.647673193	0.117335395	-5.519844996	3.39e-08	2.03e-06
168	NSD1	25038.46178	-0.341636814	0.061920259	-5.517367355	3.44e-08	2.06e-06
169	VEGFA	12764.29287	0.975218312	0.17803796	5.477586437	4.31e-08	2.54e-06
170	ENSTGUG00000018926	38.98604029	-2.974197499	0.543119571	-5.476137586	4.35e-08	2.56e-06
171	FH	12324.23215	0.308342568	0.05636249	5.470705194	4.48e-08	2.63e-06
172	TNIP2	1053.898636	-1.059868034	0.193923829	-5.465383177	4.62e-08	2.69e-06
173	ODC1	3949.636093	0.586506557	0.107369528	5.462504756	4.69e-08	2.73e-06
174	MCM5	480.0933824	-0.856723225	0.156894514	-5.460504659	4.75e-08	2.75e-06
175	SNX1	10832.70891	0.239637851	0.043967324	5.450362469	5.03e-08	2.9e-06
176	EDEM1	1564.882132	0.597383026	0.109666837	5.447253194	5.12e-08	2.94e-06
177	FANCL	845.9874302	-0.669407365	0.122977555	-5.443329589	5.23e-08	3e-06
178	TMEM11	3107.332854	0.223886921	0.04118723	5.435833451	5.45e-08	3.1e-06
179	NRP2	1193.711288	1.414656156	0.260895814	5.422303012	5.88e-08	3.33e-06
180	MED10	3285.28939	-0.37706517	0.069634558	-5.414914356	6.13e-08	3.45e-06
181	STYK1	135.6085306	-1.001075668	0.184926275	-5.413377137	6.18e-08	3.48e-06
182	DCUN1D5	15409.38608	0.388441027	0.072106271	5.387063047	7.16e-08	3.97e-06
183	ATXN7L1	6938.023198	-0.413843091	0.076854604	-5.384753381	7.25e-08	4.01e-06
184	KIAA1614	182.6060476	-0.880843356	0.163884943	-5.374766818	7.67e-08	4.22e-06
185	ABCG1	213.594512	4.038544216	0.753987125	5.356250901	8.5e-08	4.61e-06
186	ZSWIM6	4974.652253	0.422519197	0.07946501	5.317047027	1.05e-07	5.55e-06
187	ERICH1	573.4544047	-0.453511257	0.085328716	-5.314872655	1.07e-07	5.59e-06
188	TPGS2	3917.021666	-0.321478872	0.060537694	-5.31039175	1.09e-07	5.72e-06
189	ACTR3	48886.40594	0.587333416	0.110791693	5.301240579	1.15e-07	5.98e-06
190	TXNDC11	2590.503082	0.230083341	0.043488423	5.290680231	1.22e-07	6.29e-06
191	RARG	1000.897439	0.775766279	0.146996114	5.277461137	1.31e-07	6.72e-06
192	MLF1	10078.67903	0.468108447	0.088751783	5.274355436	1.33e-07	6.83e-06
193	CASP2	1375.720061	-0.323904817	0.061423957	-5.273265218	1.34e-07	6.85e-06
194	MRPS18A	6532.588073	0.431570837	0.081984492	5.264054531	1.41e-07	7.18e-06
195	PTPN14	193.6888187	-9.921074233	1.887950633	-5.254943671	1.48e-07	7.48e-06
196	HS3ST4	7747.200203	-0.598751835	0.114152616	-5.24518716	1.56e-07	7.85e-06
197	R3HDM1	30276.42935	0.742397591	0.141644737	5.24126492	1.59e-07	7.98e-06
198	ENSTGUG00000029596	75.7115393	-1.7232929	0.329732767	-5.226331967	1.73e-07	8.62e-06
199	POLR1C	1224.067986	0.347477631	0.066512472	5.224247768	1.75e-07	8.7e-06
200	UBN2	6694.744139	-0.415846788	0.079609759	-5.22356546	1.76e-07	8.72e-06
201	INIP	10069.61237	0.238282018	0.045852091	5.196753573	2.03e-07	9.95e-06
202	COG3	6610.312514	-0.232930304	0.044944996	-5.182563697	2.19e-07	1.07e-05
203	TAGLN2	2439.277195	1.211698798	0.234019552	5.17776737	2.25e-07	1.09e-05
204	ENSTGUG00000022147	129.9817797	-1.056888664	0.205249217	-5.149294499	2.61e-07	1.25e-05
205	RASD1	20369.41753	0.426113109	0.082887721	5.140847235	2.74e-07	1.3e-05
206	FNDC9	11172.81104	1.631423646	0.317659903	5.135755655	2.81e-07	1.32e-05
207	RMDN1	3477.085641	0.309108761	0.060303436	5.125889692	2.96e-07	1.39e-05
208	C7orf26	2968.888468	-0.280975719	0.054831496	-5.124348976	2.99e-07	1.4e-05
209	PRMT7	135.3868132	2.235393099	0.436516888	5.120977354	3.04e-07	1.42e-05
210	AIMP2	2143.130515	0.429658039	0.084124071	5.107432779	3.27e-07	1.51e-05
211	ALG2	1753.862055	0.29785881	0.058366847	5.10321914	3.34e-07	1.54e-05
212	LHX9	279.8804067	-0.692983225	0.13616801	-5.089177904	3.6e-07	1.65e-05
213	CWC27	21265.13091	0.206598499	0.040617627	5.086424687	3.65e-07	1.67e-05
214	PTPN21	3214.463032	-0.376089762	0.074015006	-5.081263696	3.75e-07	1.71e-05
215	USP10	14001.60403	0.214814967	0.042451822	5.060206053	4.19e-07	1.9e-05
216	CHKA	6918.509338	-0.862670228	0.170789836	-5.051063036	4.39e-07	1.99e-05
217	ABRACL	1351.618369	0.483216144	0.095660794	5.051349922	4.39e-07	1.99e-05
218	TAF5	3658.178058	0.17076342	0.033862238	5.042886381	4.59e-07	2.06e-05
219	MAP3K7	178.2376344	2.812071275	0.557591174	5.043249256	4.58e-07	2.06e-05
220	SURF1	849.1587562	0.480260553	0.095212115	5.044111811	4.56e-07	2.06e-05
221	WRNIP1	2517.995019	-0.295453106	0.058642378	-5.038218381	4.7e-07	2.1e-05
222	CERT1	11853.6712	-0.781534414	0.155140346	-5.037596196	4.71e-07	2.1e-05
223	POU4F3	894.5282444	1.427005765	0.283627864	5.031260845	4.87e-07	2.17e-05
224	NRDC	54753.94572	0.137467099	0.027517104	4.995696491	5.86e-07	2.56e-05
225	PSMA6	6364.256075	0.268211932	0.053697228	4.994893444	5.89e-07	2.57e-05
226	GPN1	5871.101016	0.279030934	0.056160049	4.968495171	6.75e-07	2.91e-05
227	CHST3	1054.119702	0.70922689	0.142878648	4.963840977	6.91e-07	2.98e-05
228	RNFT1	1131.747649	-0.450503356	0.090836941	-4.959472983	7.07e-07	3.03e-05
229	EIF5B	46265.40644	0.318582637	0.064278053	4.95632056	7.18e-07	3.07e-05
230	PRKAR2A	15078.8398	0.33323905	0.067454634	4.940195091	7.8e-07	3.32e-05
231	HAPLN3	227.8628572	-1.04457162	0.212012077	-4.926943956	8.35e-07	3.55e-05
232	MCMBP	3761.636266	0.226257788	0.046094607	4.908552291	9.18e-07	3.88e-05
233	RMC1	3511.024729	-0.240569645	0.04904158	-4.905421967	9.32e-07	3.94e-05
234	CRELD2	11894.14168	0.522282115	0.10673723	4.893157857	9.92e-07	4.18e-05
235	LDHA	23142.29724	0.332486792	0.067958181	4.892520434	9.96e-07	4.18e-05
236	ABCC1	4927.457677	-0.501014788	0.102740968	-4.876484987	1.08e-06	4.51e-05
237	ASF1A	2788.131053	-0.690778698	0.141714025	-4.874455435	1.09e-06	4.55e-05
238	LRATD1	14009.57525	-0.853336356	0.175085324	-4.873831444	1.09e-06	4.56e-05
239	NPEPL1	2696.664497	-0.395466089	0.08126233	-4.866536438	1.14e-06	4.7e-05
240	BCAR1	15260.07955	0.666132537	0.136907118	4.865580008	1.14e-06	4.71e-05
241	KRT23	260.6669897	2.811666202	0.577847661	4.865756831	1.14e-06	4.71e-05
242	RASEF	1969.991781	-1.427586196	0.293484518	-4.864264079	1.15e-06	4.73e-05
243	DLG1	26283.8582	1.383922997	0.284618192	4.862384189	1.16e-06	4.77e-05
244	OSGEP	3594.188578	0.407769138	0.083888325	4.860856847	1.17e-06	4.8e-05
245	DYNC2I2	1181.774239	0.344178098	0.070848295	4.857958765	1.19e-06	4.85e-05
246	ERP29	32994.33884	0.640746465	0.132015773	4.85355993	1.21e-06	4.93e-05
247	MTNR1B	3460.721464	2.655928765	0.547415032	4.851764399	1.22e-06	4.96e-05
248	PLEKHA3	2660.930192	-0.221751602	0.045756859	-4.846302957	1.26e-06	5.07e-05
249	SLC25A46	16007.35281	-0.25675441	0.053007215	-4.843763484	1.27e-06	5.12e-05
250	SNX12	1110.46976	1.669966989	0.34495585	4.841103546	1.29e-06	5.17e-05
251	HOMER1	4004.122395	1.162560002	0.240124405	4.84149041	1.29e-06	5.17e-05
252	MEMO1	5947.312159	0.204199167	0.042353107	4.821350398	1.43e-06	5.67e-05
253	FOXJ1	219.0046368	-1.119738699	0.232696093	-4.812021914	1.49e-06	5.92e-05
254	ACSBG2	1959.636524	0.653789744	0.136151924	4.80191337	1.57e-06	6.21e-05
255	ZFR	55832.7441	0.47855696	0.099790789	4.79560252	1.62e-06	6.38e-05
256	MRPL40	8014.277877	0.424262301	0.088633487	4.786704397	1.7e-06	6.61e-05
257	PJVK	66.36585499	-0.969301667	0.202689241	-4.782205813	1.73e-06	6.76e-05
258	MNS1	1953.157587	0.488905158	0.102247044	4.781606758	1.74e-06	6.77e-05
259	UBE2V2	15286.43238	0.225438955	0.047196281	4.776625394	1.78e-06	6.9e-05
260	SLC2A4RG	264.6318688	0.448567035	0.094230829	4.760300185	1.93e-06	7.41e-05
261	EIF3M	3198.095795	0.230220522	0.048397607	4.756857501	1.97e-06	7.5e-05
262	HEXD	1181.314558	-0.35870868	0.075396971	-4.757600657	1.96e-06	7.5e-05
263	FOSL2	674.3160063	2.718550518	0.571784224	4.75450424	1.99e-06	7.57e-05
264	TBC1D2B	6927.869362	-0.42189817	0.088861374	-4.747824061	2.06e-06	7.8e-05
265	FBXL3	2327.592304	-0.46696222	0.098421983	-4.744491079	2.09e-06	7.91e-05
266	GTF2B	3878.124887	0.245924574	0.051965789	4.732432225	2.22e-06	8.32e-05
267	RAD51C	881.93366	-0.462652596	0.098017168	-4.720117951	2.36e-06	8.8e-05
268	CEBPB	379.7055007	-1.176960479	0.250389869	-4.700511591	2.6e-06	9.6e-05
269	CCNB2	688.7345257	1.224653029	0.260642947	4.698584957	2.62e-06	9.65e-05
270	SLC27A6	2086.20955	-0.97949432	0.208844186	-4.69007225	2.73e-06	0.000100229
271	LSM1	4399.588321	0.313158706	0.066841275	4.685109689	2.8e-06	0.000102015
272	LMNA	1828.918053	1.55808039	0.333145294	4.676879487	2.91e-06	0.000105503
273	MTF2	5428.567234	-0.186803246	0.039995799	-4.670571653	3e-06	0.000108372
274	HEYL	828.9596627	-3.805672521	0.818615494	-4.648913376	3.34e-06	0.000118703
275	B3GNT2	10497.35292	1.137034662	0.244800104	4.644747457	3.4e-06	0.000120968
276	HES4	867.2238684	0.976385319	0.210453577	4.639433239	3.49e-06	0.00012349
277	TCF20	3399.729279	-1.763061685	0.380136868	-4.637965514	3.52e-06	0.000124212
278	NUDT16L1	25934.14564	0.26565054	0.057297929	4.636302639	3.55e-06	0.000125056
279	SIRT1	17798.12922	-0.209587264	0.045378819	-4.618614391	3.86e-06	0.000134836
280	SPOP	13307.57757	-0.191577123	0.041518906	-4.614214091	3.95e-06	0.000137438
281	CADM2	137.4856167	-2.242942599	0.486692347	-4.608542981	4.06e-06	0.000140476
282	PSMB6	412.7907739	0.368261788	0.080001369	4.603193595	4.16e-06	0.000143598
283	EPHB3	831.2915666	0.919739954	0.199907326	4.600831649	4.21e-06	0.000145056
284	FIGNL1	1234.71903	-0.561366025	0.12215294	-4.595599772	4.32e-06	0.00014856
285	KDM3B	12304.43178	-0.23307048	0.050760463	-4.591575128	4.4e-06	0.000150708
286	SCNN1A	56.24373976	-1.435256766	0.312685728	-4.590093628	4.43e-06	0.000151409
287	BAG3	5449.738631	-0.703951544	0.153823618	-4.576355404	4.73e-06	0.000160512
288	FAM135A	3048.012306	1.174880943	0.257046592	4.570692559	4.86e-06	0.00016431
289	PTBP3	2086.885925	-0.340461388	0.074604219	-4.56356747	5.03e-06	0.000168151
290	MSANTD1	1727.016249	0.572976326	0.125549301	4.563755601	5.02e-06	0.000168151
291	USP35	1811.79994	-0.424328488	0.093001489	-4.562598864	5.05e-06	0.000168395
292	ZFHX4	22762.5686	-0.873807502	0.191519141	-4.562507416	5.05e-06	0.000168395
293	DHX40	1467.815143	-0.54501341	0.119451097	-4.562648843	5.05e-06	0.000168395
294	RPL4	5340.181171	1.091686391	0.239746882	4.553495679	5.28e-06	0.000175356
295	TMTC4	195.4159138	-2.153454429	0.47365886	-4.54642489	5.46e-06	0.00018073
296	WDHD1	259.315404	-0.757089318	0.166585321	-4.544754094	5.5e-06	0.000181923
297	GTPBP4	20921.8815	0.255241091	0.056254809	4.537231455	5.7e-06	0.000186536
